iter	Logloss
202	0.4063036091
203	0.4062700788
204	0.406260709
205	0.4062118259
206	0.4061356833
207	0.4060968524
208	0.4060293543
209	0.4059759935
210	0.4059611546
211	0.405913309
212	0.4058914923
213	0.4058143052
214	0.4057947644
215	0.4057541769
216	0.405712125
217	0.4056575165
218	0.4055738875
219	0.4055463133
220	0.4054762414
221	0.4054390879
222	0.4053990905
223	0.4053488403
224	0.4053269739
225	0.4052605816
226	0.4052252017
227	0.405164465
228	0.4051189986
229	0.4050746778
230	0.4050220909
231	0.4049861936
232	0.4049245189
233	0.4048999518
234	0.4048413229
235	0.4047680786
236	0.4047504117
237	0.4046549882
238	0.4046208889
239	0.404524828
240	0.4044646392
241	0.4044238685
242	0.4044013558
243	0.4043543538
244	0.4043140487
245	0.4042772145
246	0.4041824974
247	0.4041143566
248	0.4040719768
249	0.4040206852
250	0.4039830052
251	0.4039398425
252	0.4038831411
253	0.4038752459
254	0.403857337
255	0.4038080465
256	0.4037505029
257	0.4036888984
258	0.4036149865
259	0.4036118598
260	0.4035790123
261	0.4035132754
262	0.4034059775
263	0.4033497639
264	0.4032753716
265	0.4031939667
266	0.4031407929
267	0.4030600978
268	0.4030292453
269	0.402957739
270	0.4028804238
271	0.4027788923
272	0.4026904331
273	0.4026031684
274	0.4025187873
275	0.4024752466
276	0.4024317095
277	0.4023435848
278	0.4022573034
279	0.402165358
280	0.40208168
281	0.4020237578
282	0.4019247238
283	0.4018252194
284	0.4017387437
285	0.4016896868
286	0.4016473832
287	0.4015503406
288	0.401487429
289	0.4014122778
290	0.4013643494
291	0.4012777261
292	0.4011968964
293	0.4011180752
294	0.4010329035
295	0.4009326961
296	0.4008515759
297	0.4007864803
298	0.4007162469
299	0.4006395515
300	0.4005665087
301	0.4005103209
302	0.4004294035
303	0.4003390937
304	0.4003045978
305	0.4002334126
306	0.4001536736
307	0.4000775701
308	0.4000172041
309	0.3999127291
310	0.3998519505
311	0.3998035815
312	0.3997319565
313	0.399660611
314	0.3996285633
315	0.3995587439
316	0.3994939795
317	0.3994255477
318	0.3993515756
319	0.3992708107
320	0.3992090679
321	0.3991337622
322	0.3990920214
323	0.3990302143
324	0.3989498956
325	0.3988699661
326	0.3987887553
327	0.3987510037
328	0.3986436051
329	0.398545338
330	0.3984693428
331	0.3984159547
332	0.398337157
333	0.3982560685
334	0.3981851409
335	0.3980908361
336	0.3980068391
337	0.3979287715
338	0.3978741679
339	0.397794565
340	0.3977005561
341	0.3976402651
342	0.3975838548
343	0.3975075733
344	0.3974386495
345	0.3973489304
346	0.3972866871
347	0.3971989878
348	0.397124268
349	0.3970563852
350	0.3969778264
351	0.3969179694
352	0.3968542683
353	0.3968199097
354	0.3967397455
355	0.3966796993
356	0.3966126557
357	0.3965212234
358	0.3964669072
359	0.3964127919
360	0.396335251
361	0.3962802881
362	0.3962107369
363	0.3961538292
364	0.3960874109
365	0.3960314722
366	0.3959643762
367	0.3958829781
368	0.3958113658
369	0.3957266777
370	0.3956692314
371	0.3955983033
372	0.3955571408
373	0.3954932842
374	0.3954112618
375	0.3953539441
376	0.3952565702
377	0.3951728689
378	0.3950872425
379	0.3950409639
380	0.3949805362
381	0.3949246115
382	0.3948465033
383	0.3947987938
384	0.3947627667
385	0.3946752509
386	0.3946172701
387	0.3945392396
388	0.3945182486
389	0.3944570273
390	0.3943864106
391	0.3943323404
392	0.3942748027
393	0.3942320714
394	0.3941503799
395	0.3940654596
396	0.394018611
397	0.3939761925
398	0.39389799
399	0.3938633898
400	0.3937923438
401	0.3937282354
402	0.39366049
403	0.3935810041
404	0.3935363391
405	0.3934690913
406	0.3933992319
407	0.3933620871
408	0.3932889483
409	0.3932549702
410	0.3931746599
411	0.3931010929
412	0.3930434799
413	0.3930154112
414	0.3929415983
415	0.3928927887
416	0.3928328082
